"id","created","timeCleared","offer_tiepe","canceled","cleared","updated","unitsAvailable","unitsCleared","priceCleared","priceOriginal","product","auction_id","group_id","phase_id","player_id"
402,2017-05-09 16:38:51.319166,,0,true,false,false,8,0,0,54,0,1,22,14,286
411,2017-05-09 16:39:40.583413,,0,false,false,false,4,0,0,52,0,1,22,14,286
401,2017-05-09 16:38:48.451144,,1,true,false,true,14,0,0,37,0,1,22,14,287
399,2017-05-09 16:38:46.822230,2017-05-09 16:39:38.602834,0,false,true,false,0,10,50,50,500,1,22,14,289
405,2017-05-09 16:39:26.246127,2017-05-09 16:39:38.645939,0,false,true,false,0,2,50,50,100,1,22,14,286
407,2017-05-09 16:39:38.616329,2017-05-09 16:39:38.646013,1,false,true,true,0,2,50,50,-100,1,22,14,287
409,2017-05-09 16:39:39.818875,2017-05-09 16:39:39.818597,0,false,true,false,0,2,50,45,100,1,22,14,290
408,2017-05-09 16:39:38.657221,2017-05-09 16:39:39.818519,1,false,true,true,0,2,50,50,-100,1,22,14,287
404,2017-05-09 16:39:07.176604,,0,true,false,false,2,0,0,55,0,1,22,14,286
412,2017-05-09 16:40:19.950917,,0,true,false,false,16,0,0,60,0,1,22,15,292
536,2017-05-09 16:47:52.904791,2017-05-09 16:47:52.904565,1,false,true,false,0,5,45,45,-225,1,22,19,291
413,2017-05-09 16:40:21.741760,,1,true,false,false,15,0,0,30,0,1,22,15,287
415,2017-05-09 16:40:24.227453,,1,true,false,false,15,0,0,45,0,1,22,15,291
423,2017-05-09 16:40:43.101975,2017-05-09 16:40:43.101556,0,false,true,false,0,10,48,35,480,1,22,15,292
422,2017-05-09 16:40:41.336740,2017-05-09 16:40:43.101568,1,false,true,false,0,10,48,48,-480,1,22,15,288
421,2017-05-09 16:40:35.839136,,1,true,false,false,15,0,0,47,0,1,22,15,291
419,2017-05-09 16:40:31.064472,,0,true,false,false,5,0,0,60,0,1,22,15,286
414,2017-05-09 16:40:23.189432,,1,true,false,false,15,0,0,35,0,1,22,15,288
464,2017-05-09 16:42:21.314256,2017-05-09 16:42:21.314026,0,false,true,false,0,1,50,50,50,1,22,16,289
428,2017-05-09 16:40:59.532146,2017-05-09 16:40:59.531839,0,false,true,false,0,5,49,49,245,1,22,15,292
424,2017-05-09 16:40:45.409797,2017-05-09 16:40:59.531918,1,false,true,false,0,5,49,49,-245,1,22,15,291
460,2017-05-09 16:42:15.476394,2017-05-09 16:42:21.313949,1,false,true,true,0,1,50,50,-50,1,22,16,285
430,2017-05-09 16:41:01.387400,2017-05-09 16:41:01.387133,1,false,true,false,0,10,55,55,-550,1,22,15,285
418,2017-05-09 16:40:31.005071,2017-05-09 16:41:01.387145,0,false,true,false,0,10,55,55,550,1,22,15,289
429,2017-05-09 16:40:59.612519,,1,true,false,true,10,0,0,49,0,1,22,15,291
432,2017-05-09 16:41:03.158731,2017-05-09 16:41:03.158504,1,false,true,false,0,8,52,55,-416,1,22,15,291
431,2017-05-09 16:41:01.508960,2017-05-09 16:41:03.158406,0,false,true,false,0,8,52,52,416,1,22,15,290
433,2017-05-09 16:41:03.171007,2017-05-09 16:41:03.180055,1,false,true,true,0,5,55,55,-275,1,22,15,291
425,2017-05-09 16:40:46.797884,2017-05-09 16:41:03.180130,0,false,true,false,0,5,55,55,275,1,22,15,286
465,2017-05-09 16:42:21.338722,2017-05-09 16:42:21.357216,0,false,true,true,0,9,50,50,450,1,22,16,289
434,2017-05-09 16:41:03.262133,,0,true,false,true,3,0,0,55,0,1,22,15,286
426,2017-05-09 16:40:52.396384,,0,true,false,false,5,0,0,55,0,1,22,15,292
435,2017-05-09 16:41:03.987751,,0,true,false,false,5,0,0,52,0,1,22,15,286
417,2017-05-09 16:40:30.007664,,1,true,false,false,10,0,0,46,0,1,22,15,285
439,2017-05-09 16:41:18.335295,2017-05-09 16:41:18.334985,0,false,true,false,0,4,52,52,208,1,22,15,290
438,2017-05-09 16:41:16.564505,2017-05-09 16:41:18.335065,1,false,true,false,0,4,52,52,-208,1,22,15,285
462,2017-05-09 16:42:16.409536,2017-05-09 16:42:21.357294,1,false,true,false,0,9,50,50,-450,1,22,16,288
427,2017-05-09 16:40:56.855483,,1,true,false,false,5,0,0,35,0,1,22,15,288
420,2017-05-09 16:40:32.201219,,1,true,false,false,15,0,0,36,0,1,22,15,287
436,2017-05-09 16:41:05.401588,,0,true,false,false,2,0,0,60,0,1,22,15,292
437,2017-05-09 16:41:16.208422,,0,true,false,false,5,0,0,60,0,1,22,15,286
446,2017-05-09 16:41:31.209084,,0,false,false,false,5,0,0,56,0,1,22,15,289
441,2017-05-09 16:41:20.195994,,1,true,false,false,5,0,0,37,0,1,22,15,288
448,2017-05-09 16:41:33.274201,2017-05-09 16:41:33.273322,0,false,true,false,0,1,52,52,52,1,22,15,291
440,2017-05-09 16:41:18.372915,2017-05-09 16:41:33.273334,1,false,true,true,0,1,52,52,-52,1,22,15,285
444,2017-05-09 16:41:28.386427,,0,true,false,false,2,0,0,58,0,1,22,15,292
449,2017-05-09 16:41:36.719691,,0,false,false,false,1,0,0,55,0,1,22,15,292
450,2017-05-09 16:41:38.956193,,0,false,false,false,2,0,0,55,0,1,22,15,290
443,2017-05-09 16:41:25.222862,,1,true,false,false,15,0,0,38,0,1,22,15,287
451,2017-05-09 16:41:39.081825,,1,false,false,false,15,0,0,40,0,1,22,15,287
442,2017-05-09 16:41:22.779378,,0,true,false,false,3,0,0,59,0,1,22,15,291
445,2017-05-09 16:41:29.733212,,0,true,false,false,7,0,0,58,0,1,22,15,286
453,2017-05-09 16:41:41.997067,,0,false,false,false,7,0,0,57,0,1,22,15,286
447,2017-05-09 16:41:32.024962,,1,true,false,false,5,0,0,39,0,1,22,15,288
454,2017-05-09 16:41:46.132365,,1,false,false,false,5,0,0,41,0,1,22,15,288
452,2017-05-09 16:41:39.722441,,0,true,false,false,2,0,0,55,0,1,22,15,291
455,2017-05-09 16:41:47.946347,,0,false,false,false,2,0,0,54,0,1,22,15,291
459,2017-05-09 16:42:15.463139,2017-05-09 16:42:15.462893,1,false,true,false,0,3,50,50,-150,1,22,16,285
456,2017-05-09 16:42:13.556243,2017-05-09 16:42:15.462813,0,false,true,false,0,3,50,50,150,1,22,16,292
481,2017-05-09 16:43:36.908758,,0,false,false,false,5,0,0,50,0,1,22,16,290
480,2017-05-09 16:43:34.746579,,0,true,false,true,3,0,0,55,0,1,22,16,286
461,2017-05-09 16:42:16.095798,,1,true,false,false,2,0,0,40,0,1,22,16,291
467,2017-05-09 16:42:24.150747,2017-05-09 16:42:24.150406,1,false,true,false,0,2,53,53,-106,1,22,16,291
458,2017-05-09 16:42:15.299846,2017-05-09 16:42:24.150483,0,false,true,false,0,2,53,53,106,1,22,16,290
463,2017-05-09 16:42:19.939791,,0,true,false,false,9,0,0,58,0,1,22,16,286
457,2017-05-09 16:42:13.882601,,1,true,false,false,15,0,0,35,0,1,22,16,287
469,2017-05-09 16:42:30.328818,,0,true,false,false,7,0,0,55,0,1,22,16,286
482,2017-05-09 16:43:37.650295,,0,true,false,false,5,0,0,57,0,1,22,16,286
483,2017-05-09 16:43:49.465979,,0,false,false,false,2,0,0,58,0,1,22,16,286
474,2017-05-09 16:43:13.948329,2017-05-09 16:43:13.948069,1,false,true,false,0,6,55,55,-330,1,22,16,287
473,2017-05-09 16:43:07.283055,2017-05-09 16:43:13.948081,0,false,true,false,0,6,55,55,330,1,22,16,286
477,2017-05-09 16:43:21.699549,2017-05-09 16:43:21.699287,1,false,true,false,0,10,50,55,-500,1,22,16,287
476,2017-05-09 16:43:20.163955,2017-05-09 16:43:21.699298,0,false,true,false,0,10,50,50,500,1,22,16,286
471,2017-05-09 16:42:47.949491,,0,true,false,false,7,0,0,58,0,1,22,16,286
470,2017-05-09 16:42:45.974756,,1,true,false,false,18,0,0,35,0,1,22,16,287
479,2017-05-09 16:43:34.734049,2017-05-09 16:43:34.733741,1,false,true,false,0,2,55,55,-110,1,22,16,287
478,2017-05-09 16:43:28.294001,2017-05-09 16:43:34.733815,0,false,true,false,0,2,55,55,110,1,22,16,286
490,2017-05-09 16:44:22.091798,,0,false,false,false,10,0,0,55,0,1,22,17,289
486,2017-05-09 16:44:16.801553,,1,true,false,false,15,0,0,35,0,1,22,17,288
492,2017-05-09 16:44:26.305247,2017-05-09 16:44:26.304950,0,false,true,false,0,10,50,50,500,1,22,17,292
487,2017-05-09 16:44:19.064838,2017-05-09 16:44:26.305028,1,false,true,false,0,10,50,50,-500,1,22,17,291
