48,2017-05-09 15:59:25.705736,0,16,785,750,225,0,560,0,0,0,1,-1,-1,-1,0,16,0,15,0,1,22,6,292
41,2017-05-09 15:59:25.624106,1,17,-520,-740,0,3349,2829,0,0,0,1,-1,-1,-1,0,17,0,10,0,1,22,6,285
44,2017-05-09 15:59:25.662445,1,16,-791,-750,0,3152,2361,0,0,0,1,-1,-1,-1,0,16,0,15,0,1,22,6,291
43,2017-05-09 15:59:25.645533,1,17,-864,-500,0,3349,2485,0,0,0,1,-1,-1,-1,0,17,0,0,0,1,22,6,288
46,2017-05-09 15:59:25.684505,0,17,496,500,371,0,125,0,0,0,1,-1,-1,-1,0,18,0,0,0,1,22,6,289
47,2017-05-09 15:59:25.689441,0,17,724,0,225,0,499,0,0,0,1,-1,-1,-1,1,16,0,0,0,1,22,6,290
42,2017-05-09 15:59:25.640498,1,17,-640,0,0,3349,2709,0,0,0,1,-1,-1,-1,0,17,0,0,0,1,22,6,287
51,2017-05-09 15:59:25.738676,1,14,-624,-480,0,2758,2134,0,0,0,1,-1,-1,-1,0,14,0,0,0,1,22,7,288
49,2017-05-09 15:59:25.727854,1,14,-647,-683,0,2758,2111,0,0,0,1,-1,-1,-1,0,14,0,12,0,1,22,7,285
50,2017-05-09 15:59:25.733731,1,15,-737,0,0,2955,2218,0,0,0,1,-1,-1,-1,0,15,0,0,0,1,22,7,287
53,2017-05-09 15:59:25.760302,0,14,1050,950,865,0,185,0,0,0,1,-1,-1,-1,0,22,0,10,0,1,22,7,286
55,2017-05-09 15:59:25.771170,0,14,241,141,1.1,0,239.9,0,0,0,1,-1,-1,-1,9,5,0,0,0,1,22,7,290
54,2017-05-09 15:59:25.765563,0,14,545,45,171,0,374,0,0,0,1,-1,-1,-1,0,15,0,0,0,1,22,7,289
3,2017-05-09 15:59:25.153782,1,13,-628,-538,0,2561,1933,0,0,0,1,-1,-1,-1,0,13,0,0,0,1,22,1,288
4,2017-05-09 15:59:25.161531,1,12,-122,238,0,5713,5591,0,0,0,1,-1,-1,-1,0,29,0,15,0,1,22,1,291
