id,success,trials,finished,pqo_init,player_id,question_id
835,false,0,false,false,107,10
836,false,0,false,false,108,10
837,false,0,false,false,109,10
838,false,0,false,false,110,10
839,false,0,false,false,111,10
840,false,0,false,false,112,10
841,false,0,false,false,113,10
842,false,0,false,false,114,10
843,false,0,false,false,115,10
844,false,0,false,false,116,10
845,false,0,false,false,117,10
846,false,0,false,false,118,10
847,false,0,false,false,119,10
848,false,0,false,false,120,10
849,false,0,false,false,97,11
850,false,0,false,false,98,11
851,false,0,false,false,99,11
852,false,0,false,false,100,11
853,false,0,false,false,101,11
854,false,0,false,false,102,11
855,false,0,false,false,103,11
856,false,0,false,false,104,11
857,false,0,false,false,105,11
858,false,0,false,false,106,11
859,false,0,false,false,107,11
860,false,0,false,false,108,11
861,false,0,false,false,109,11
862,false,0,false,false,110,11
863,false,0,false,false,111,11
864,false,0,false,false,112,11
865,false,0,false,false,113,11
866,false,0,false,false,114,11
867,false,0,false,false,115,11
868,false,0,false,false,116,11
869,false,0,false,false,117,11
870,false,0,false,false,118,11
871,false,0,false,false,119,11
872,false,0,false,false,120,11
873,false,0,false,false,97,12
874,false,0,false,false,98,12
875,false,0,false,false,99,12
876,false,0,false,false,100,12
877,false,0,false,false,101,12
878,false,0,false,false,102,12
879,false,0,false,false,103,12
880,false,0,false,false,104,12
881,false,0,false,false,105,12
882,false,0,false,false,106,12
883,false,0,false,false,107,12
884,false,0,false,false,108,12
885,false,0,false,false,109,12
886,false,0,false,false,110,12
887,false,0,false,false,111,12
888,false,0,false,false,112,12
889,false,0,false,false,113,12
890,false,0,false,false,114,12
891,false,0,false,false,115,12
892,false,0,false,false,116,12
893,false,0,false,false,117,12
894,false,0,false,false,118,12
895,false,0,false,false,119,12
896,false,0,false,false,120,12
897,false,0,false,false,97,13
898,false,0,false,false,98,13
899,false,0,false,false,99,13
900,false,0,false,false,100,13
901,false,0,false,false,101,13
902,false,0,false,false,102,13
903,false,0,false,false,103,13
904,false,0,false,false,104,13
905,false,0,false,false,105,13
906,false,0,false,false,106,13
907,false,0,false,false,107,13
908,false,0,false,false,108,13
909,false,0,false,false,109,13
910,false,0,false,false,110,13
911,false,0,false,false,111,13
912,false,0,false,false,112,13
