id,idd,value_cum,value,auction_id
12,1,139,139,282325
13,2,278,139,282325
14,3,417,139,282325
15,4,556,139,282325
16,5,695,139,282325
17,...,834,139,282325
18,<i>UNITS DEMANDED</i>,834,139,282325
19,<i>UNITS DEMANDED</i> + 1,0,0,282325
20,<i>UNITS DEMANDED</i> + 2,0,0,282325
21,<i>UNITS DEMANDED</i> + 3,0,0,282325
22,<i>UNITS DEMANDED</i> + ...,0,0,282325
