id,created,timeCleared,offer_tiepe,canceled,cleared,updated,unitsAvailable,unitsCleared,priceCleared,priceOriginal,product,auction_id,group_id,phase_id,player_id
711,2017-11-02 19:10:26.741649,2017-11-02 19:10:29.940200,0,false,true,true,0,1,40,40,40,282325,10,8,100
679,2017-11-02 19:09:11.440460,,0,false,false,false,1,0,0,117,0,282325,10,8,99
697,2017-11-02 19:09:32.800755,,0,false,false,false,2,0,0,75,0,282325,11,8,106
700,2017-11-02 19:09:44.658414,2017-11-02 19:11:36.294334,0,false,true,false,0,2,60,60,120,282325,11,8,107
703,2017-11-02 19:09:51.941280,2017-11-02 19:10:37.296495,0,false,true,true,0,1,20,20,20,282325,11,8,111
705,2017-11-02 19:09:55.791540,2017-11-02 19:10:37.296577,1,false,true,false,0,1,20,20,-20,282325,11,8,109
791,2017-11-02 19:13:38.768522,2017-11-02 19:13:56.010061,1,false,true,true,0,1,50,50,-50,282325,11,9,112
715,2017-11-02 19:10:41.463770,2017-11-02 19:10:41.452737,0,false,true,false,0,1,20,20,20,282325,11,8,111
788,2017-11-02 19:13:33.717588,,0,false,false,false,1,0,0,67,0,282325,10,9,99
816,2017-11-02 19:14:49.144151,2017-11-02 19:16:18.326277,1,false,true,true,0,3,57,57,-171,282325,10,9,98
758,2017-11-02 19:12:46.838956,2017-11-02 19:14:09.322159,1,false,true,false,0,3,56,56,-168,282325,10,9,98
719,2017-11-02 19:10:50.188438,2017-11-02 19:10:50.176423,0,false,true,false,0,1,25,25,25,282325,11,8,109
716,2017-11-02 19:10:42.185393,2017-11-02 19:10:50.176510,1,false,true,false,0,1,25,25,-25,282325,11,8,110
720,2017-11-02 19:10:51.718503,,1,false,false,true,8,0,0,25,0,282325,11,8,110
721,2017-11-02 19:10:51.718613,2017-11-02 19:10:51.708372,0,false,true,false,0,1,25,25,25,282325,11,8,111
718,2017-11-02 19:10:50.188327,2017-11-02 19:10:51.708454,1,false,true,true,0,1,25,25,-25,282325,11,8,110
724,2017-11-02 19:11:02.888304,2017-11-02 19:11:02.875764,1,false,true,false,0,1,89,89,-89,282325,10,8,102
725,2017-11-02 19:11:05.480087,2017-11-02 19:11:05.467659,1,false,true,false,0,1,35,60,-35,282325,11,8,108
795,2017-11-02 19:13:48.225455,2017-11-02 19:14:15.522576,0,false,true,false,0,1,56,56,56,282325,10,9,103
723,2017-11-02 19:11:00.515914,2017-11-02 19:11:05.467578,0,false,true,false,0,1,35,35,35,282325,11,8,111
767,2017-11-02 19:12:55.285504,2017-11-02 19:14:22.690968,1,false,true,false,0,2,30,30,-60,282325,11,9,110
729,2017-11-02 19:11:11.197688,2017-11-02 19:11:11.189605,0,false,true,false,0,3,60,60,180,282325,11,8,110
726,2017-11-02 19:11:05.480207,2017-11-02 19:11:11.189721,1,false,true,true,0,3,60,60,-180,282325,11,8,108
731,2017-11-02 19:11:13.947548,2017-11-02 19:11:13.938247,0,false,true,false,0,1,60,60,60,282325,11,8,105
728,2017-11-02 19:11:11.197558,2017-11-02 19:11:13.938326,1,false,true,true,0,1,60,60,-60,282325,11,8,108
805,2017-11-02 19:14:15.534625,2017-11-02 19:14:27.016944,1,false,true,true,0,2,56,56,-112,282325,10,9,98
734,2017-11-02 19:11:16.879001,2017-11-02 19:11:16.869124,0,false,true,false,0,3,60,60,180,282325,11,8,111
730,2017-11-02 19:11:13.947439,2017-11-02 19:11:16.869212,1,false,true,true,0,3,60,60,-180,282325,11,8,108
814,2017-11-02 19:14:32.697951,2017-11-02 19:14:32.688348,0,false,true,false,0,1,30,30,30,282325,11,9,105
736,2017-11-02 19:11:17.490121,2017-11-02 19:11:17.480183,0,false,true,false,0,4,60,60,240,282325,11,8,109
733,2017-11-02 19:11:16.878891,2017-11-02 19:11:17.480264,1,false,true,true,0,4,60,60,-240,282325,11,8,108
