id,active,myseed,created,PR_per_group,RE_per_group,convexity_parameter,a,F,distribution_used,mu,sigma,uniform_min,uniform_max,retail_price,demand_avg_theory,demand_sd_theory,price_avg_theory,price_sd_theory,groups_assignment_alternate,total_groups,time_for_forward_1,time_for_forward_2,time_conditional,time_for_forward_waiting,time_for_spot_1,time_for_spot_2,time_for_spot_3,time_for_spot_waiting,time_for_question_page,time_refresh_check,time_for_testing,time_for_instructions,time_for_distribution,time_for_succession,total_periods,error_max,ECU_per_CZK_PR,ECU_per_CZK_RE,showupfee_desel,showupfee_desel_error_max,showupfee_fixed,start_capital_in_CZK,qp_accuracy_fee,max_vouchers,d_draws_needed,short_maximum,penalty_perunit,qp_every,test_players,test_script,allow_multiple_offers,test_mode,group_arrangements,only_spot,pay_one_random_period,allow_automatic_login,shedding
2,false,1,2017-11-02 17:14:17.427229,4,4,4,0.017777777777,0,0,60,20,55,65,73,60,2.9,60.4,8.7,true,3,45,180,30,20,45,180,120,20,45,2000,900,600,180,4,5,15,1,3.5,200,50,50,0,100,35,400,15,10,3,false,false,false,false,1,false,true,true,8
1,true,1,2017-11-02 17:14:17.420002,4,4,4,0.017777777777,0,0,60,20,20,100,139,60,23.09,87,79,true,2,45,180,30,20,45,180,120,20,45,2000,900,360,180,4,5,15,2,0.5,200,50,50,300,100,35,400,15,10,3,false,false,false,false,1,false,true,true,8
